forecast_timestamp,step,prediction,p10,p50,p90,interval_method
2015-01-01 00:15:00,1,101.715454,85.26454,101.715454,119.21517,validation_residual_calibration
2015-01-01 00:30:00,2,105.22742,87.62475,105.22742,123.916794,validation_residual_calibration
2015-01-01 00:45:00,3,104.91168,86.445,104.91168,123.893486,validation_residual_calibration
2015-01-01 01:00:00,4,96.60814,77.339424,96.60814,116.727875,validation_residual_calibration
2015-01-01 01:15:00,5,89.5009,70.31434,89.5009,111.31129,validation_residual_calibration
2015-01-01 01:30:00,6,83.08046,63.748745,83.08046,103.81516,validation_residual_calibration
2015-01-01 01:45:00,7,78.63284,59.81556,78.63284,100.132744,validation_residual_calibration
2015-01-01 02:00:00,8,84.44177,64.66504,84.44177,106.300255,validation_residual_calibration
2015-01-01 02:15:00,9,88.9801,69.43306,88.9801,111.56931,validation_residual_calibration
2015-01-01 02:30:00,10,94.07843,74.09825,94.07843,117.910706,validation_residual_calibration
2015-01-01 02:45:00,11,102.163376,81.5001,102.163376,125.75975,validation_residual_calibration
2015-01-01 03:00:00,12,103.26555,82.65114,103.26555,126.33184,validation_residual_calibration
2015-01-01 03:15:00,13,98.18736,77.24888,98.18736,120.727554,validation_residual_calibration
2015-01-01 03:30:00,14,92.127975,71.50845,92.127975,114.931145,validation_residual_calibration
2015-01-01 03:45:00,15,87.32909,66.79695,87.32909,110.170715,validation_residual_calibration
2015-01-01 04:00:00,16,80.72598,60.284756,80.72598,103.68626,validation_residual_calibration
2015-01-01 04:15:00,17,78.66133,58.212856,78.66133,102.63937,validation_residual_calibration
2015-01-01 04:30:00,18,81.01094,59.636707,81.01094,104.339386,validation_residual_calibration
2015-01-01 04:45:00,19,87.823364,65.50077,87.823364,111.60913,validation_residual_calibration
2015-01-01 05:00:00,20,92.980515,71.33973,92.980515,117.476974,validation_residual_calibration
2015-01-01 05:15:00,21,97.852554,75.74251,97.852554,121.9866,validation_residual_calibration
2015-01-01 05:30:00,22,105.95418,84.35863,105.95418,130.08195,validation_residual_calibration
2015-01-01 05:45:00,23,109.74568,87.660095,109.74568,132.68921,validation_residual_calibration
2015-01-01 06:00:00,24,117.663345,95.58121,117.663345,140.95506,validation_residual_calibration
2015-01-01 06:15:00,25,114.833984,91.79235,114.833984,137.69374,validation_residual_calibration
2015-01-01 06:30:00,26,120.28843,97.723206,120.28843,142.47458,validation_residual_calibration
2015-01-01 06:45:00,27,123.293045,100.68754,123.293045,147.15086,validation_residual_calibration
