forecast_timestamp,scenario,strategy,forecast_load_kw,grid_import_kw,charge_kw,discharge_kw,battery_energy_kwh,soc,tariff_period,energy_price,interval_energy_cost
2015-01-01 00:15:00,p10,no_storage,93.19276933161744,93.19276933161744,0.0,0.0,250.0,0.5,off_peak,0.6,13.978915399742617
2015-01-01 00:15:00,p10,rule_based,93.19276933161744,193.19276933161748,100.00000000000004,0.0,273.71708245126285,0.5474341649025257,off_peak,0.6,28.978915399742622
2015-01-01 00:15:00,p10,optimized,93.19276933161744,93.19276933161744,0.0,0.0,250.0,0.5,off_peak,0.6,13.978915399742617
2015-01-01 00:15:00,p50,no_storage,99.69677459988053,99.69677459988053,0.0,0.0,250.0,0.5,off_peak,0.6,14.954516189982078
2015-01-01 00:15:00,p50,rule_based,99.69677459988053,199.69677459988057,100.00000000000004,0.0,273.71708245126285,0.5474341649025257,off_peak,0.6,29.954516189982083
2015-01-01 00:15:00,p50,optimized,99.69677459988053,99.69677459988053,0.0,0.0,250.0,0.5,off_peak,0.6,14.954516189982078
2015-01-01 00:15:00,p90,no_storage,107.2545230441771,107.2545230441771,0.0,0.0,250.0,0.5,off_peak,0.6,16.088178456626565
2015-01-01 00:15:00,p90,rule_based,107.2545230441771,207.25452304417715,100.00000000000004,0.0,273.71708245126285,0.5474341649025257,off_peak,0.6,31.088178456626572
2015-01-01 00:15:00,p90,optimized,107.2545230441771,107.2545230441771,0.0,0.0,250.0,0.5,off_peak,0.6,16.088178456626565
2015-01-01 00:30:00,p10,no_storage,94.0288975064712,94.0288975064712,0.0,0.0,250.0,0.5,off_peak,0.6,14.10433462597068
2015-01-01 00:30:00,p10,rule_based,94.0288975064712,194.02889750647125,100.00000000000004,0.0,297.4341649025257,0.5948683298050514,off_peak,0.6,29.104334625970687
2015-01-01 00:30:00,p10,optimized,94.0288975064712,122.21508775965205,28.186190253180854,0.0,256.68494198221674,0.5133698839644335,off_peak,0.6,18.332263163947808
2015-01-01 00:30:00,p50,no_storage,99.47539784474876,99.47539784474876,0.0,0.0,250.0,0.5,off_peak,0.6,14.921309676712312
2015-01-01 00:30:00,p50,rule_based,99.47539784474876,199.47539784474878,100.00000000000004,0.0,297.4341649025257,0.5948683298050514,off_peak,0.6,29.921309676712315
2015-01-01 00:30:00,p50,optimized,99.47539784474876,99.47539784474876,0.0,0.0,250.0,0.5,off_peak,0.6,14.921309676712312
2015-01-01 00:30:00,p90,no_storage,108.2392583281311,108.2392583281311,0.0,0.0,250.0,0.5,off_peak,0.6,16.235888749219665
2015-01-01 00:30:00,p90,rule_based,108.2392583281311,208.23925832813114,100.00000000000004,0.0,297.4341649025257,0.5948683298050514,off_peak,0.6,31.23588874921967
